Intervalo_N,Timestamp_Fim,Duracao_Min,Tensao_RMS_Total_V,Faixa_Tensao,DTT_%,DTTp_%,DTTi_%,DTT3_%,DIT2_%,DIT3_%,DIT4_%,DIT5_%,DIT6_%,DIT7_%,DIT8_%,DIT9_%,DIT10_%,DIT11_%,DIT12_%,DIT13_%,DIT14_%,DIT15_%,DIT16_%,DIT17_%,DIT18_%,DIT19_%,DIT20_%,DIT21_%,DIT22_%,DIT23_%,DIT24_%,DIT25_%,DIT26_%,DIT27_%,DIT28_%,DIT29_%,DIT30_%,DIT31_%,DIT32_%,DIT33_%,DIT34_%,DIT35_%,DIT36_%,DIT37_%,DIT38_%,DIT39_%,DIT40_%
1,2025-10-07 16:36:01,10,127.2922,Adequada,1.5298,0.1005,1.3018,0.7972,0.0608,0.5027,0.0455,0.5073,0.0323,1.0554,0.0486,0.4777,0.0290,0.5000,0.0137,0.1791,0.0109,0.2701,0.0114,0.1149,0.0101,0.0688,0.0134,0.2230,0.0105,0.0548,0.0104,0.0407,0.0100,0.1300,0.0102,0.0784,0.0084,0.0512,0.0093,0.0826,0.0112,0.0675,0.0101,0.0730,0.0092,0.0812,0.0084
2,2025-10-07 16:46:01,10,126.9953,Adequada,1.5184,0.1091,1.3189,0.7444,0.0659,0.4703,0.0477,0.4635,0.0300,1.0961,0.0552,0.4474,0.0312,0.5024,0.0145,0.1650,0.0118,0.2501,0.0109,0.1247,0.0104,0.0668,0.0112,0.2176,0.0116,0.0608,0.0116,0.0412,0.0107,0.1110,0.0104,0.0698,0.0080,0.0692,0.0097,0.0782,0.0165,0.0548,0.0086,0.0730,0.0094,0.0553,0.0077
3,2025-10-07 16:56:01,10,127.5806,Adequada,1.6176,0.1044,1.4153,0.7762,0.0606,0.5087,0.0484,0.3866,0.0301,1.2173,0.0515,0.4279,0.0320,0.5451,0.0131,0.1633,0.0104,0.2787,0.0109,0.1240,0.0115,0.0839,0.0096,0.2258,0.0108,0.0708,0.0087,0.0566,0.0130,0.1219,0.0099,0.0745,0.0086,0.0665,0.0115,0.0979,0.0095,0.0603,0.0089,0.0618,0.0125,0.0774,0.0113
4,2025-10-07 17:06:01,10,127.6588,Adequada,1.5921,0.1172,1.3899,0.7676,0.0771,0.4889,0.0533,0.4326,0.0314,1.1772,0.0549,0.4275,0.0306,0.5213,0.0126,0.1910,0.0108,0.2899,0.0102,0.1390,0.0119,0.0787,0.0109,0.2328,0.0096,0.0662,0.0092,0.0658,0.0095,0.1192,0.0084,0.0781,0.0088,0.0609,0.0086,0.0893,0.0095,0.0564,0.0092,0.0585,0.0118,0.0730,0.0106
5,2025-10-07 17:16:01,10,126.5643,Adequada,1.6460,0.1015,1.4302,0.8084,0.0486,0.5709,0.0534,0.5233,0.0208,1.1780,0.0566,0.4068,0.0306,0.5519,0.0107,0.1933,0.0096,0.2727,0.0102,0.1182,0.0113,0.0954,0.0098,0.2365,0.0096,0.0620,0.0090,0.0553,0.0093,0.1342,0.0078,0.0608,0.0093,0.0446,0.0089,0.0907,0.0091,0.0464,0.0088,0.0645,0.0116,0.0676,0.0112
6,2025-10-07 17:26:01,10,128.0123,Adequada,1.5538,0.1048,1.3684,0.7286,0.0431,0.4979,0.0607,0.3887,0.0186,1.1681,0.0602,0.3767,0.0301,0.5107,0.0088,0.2164,0.0093,0.2500,0.0092,0.1410,0.0078,0.0716,0.0081,0.2288,0.0085,0.0676,0.0082,0.0329,0.0079,0.1260,0.0078,0.0687,0.0080,0.0646,0.0104,0.0836,0.0097,0.0621,0.0092,0.0759,0.0122,0.0516,0.0112
7,2025-10-07 17:36:01,10,128.3556,Adequada,1.5014,0.1177,1.3206,0.7046,0.0705,0.4712,0.0604,0.3133,0.0266,1.1459,0.0583,0.3932,0.0306,0.5024,0.0110,0.2063,0.0107,0.2345,0.0114,0.1111,0.0090,0.0663,0.0081,0.2084,0.0078,0.0720,0.0082,0.0283,0.0088,0.1108,0.0096,0.0781,0.0081,0.0444,0.0088,0.0756,0.0092,0.0557,0.0090,0.0614,0.0103,0.0477,0.0103
8,2025-10-07 17:46:01,10,127.7366,Adequada,1.4237,0.0939,1.2343,0.7032,0.0441,0.5267,0.0530,0.3512,0.0238,1.0294,0.0540,0.3234,0.0202,0.4752,0.0084,0.2530,0.0105,0.2209,0.0079,0.1355,0.0064,0.0404,0.0069,0.2201,0.0063,0.0713,0.0064,0.0213,0.0075,0.0997,0.0075,0.0799,0.0070,0.0716,0.0077,0.0548,0.0085,0.0728,0.0088,0.0921,0.0124,0.0386,0.0091
9,2025-10-07 17:56:01,10,127.6888,Adequada,1.5683,0.0883,1.3747,0.7496,0.0538,0.5790,0.0496,0.5920,0.0272,1.0639,0.0370,0.3362,0.0185,0.5701,0.0115,0.2151,0.0102,0.2359,0.0077,0.1185,0.0076,0.0651,0.0081,0.2092,0.0068,0.0553,0.0072,0.0180,0.0086,0.0906,0.0086,0.0594,0.0072,0.0455,0.0092,0.0468,0.0078,0.0637,0.0097,0.0712,0.0100,0.0515,0.0075
10,2025-10-07 18:06:01,10,127.8822,Adequada,1.6839,0.1101,1.4332,0.8772,0.0827,0.7355,0.0554,0.6562,0.0305,1.0474,0.0317,0.3538,0.0182,0.6362,0.0141,0.2877,0.0121,0.2386,0.0096,0.1418,0.0090,0.0294,0.0084,0.1875,0.0081,0.0510,0.0076,0.0437,0.0078,0.0756,0.0073,0.0535,0.0077,0.0485,0.0110,0.0300,0.0088,0.0750,0.0108,0.0520,0.0104,0.0565,0.0088
